total_notes,don_notes,ka_notes,big_don,big_ka,drumroll,balloon,note_density,note_variety,avg_spacing,min_spacing,spacing_variance,transition_rate,bpm_changes,time_sig_changes,max_bpm,min_bpm,avg_bpm,bpm_variance,gogo_proportion,gogo_note_density,regular_note_density,difficulty_name,difficulty_level,source_file
167,111,42,12,2,2,0,4.771428571428571,5,3.2771084337349397,1,7.597909711133692,0.46706586826347307,0,0,79.0,79.0,79.0,0.0,0.22857142857142856,5.5,4.555555555555555,Hard,3,charts/01 Pop\Akaneiro no Yakusoku\Akaneiro no Yakusoku.tja
98,66,18,12,2,3,0,2.8,5,2.804123711340206,1,5.580189180571794,0.4387755102040816,0,0,79.0,79.0,79.0,0.0,0.22857142857142856,3.25,2.6666666666666665,Normal,3,charts/01 Pop\Akaneiro no Yakusoku\Akaneiro no Yakusoku.tja
75,58,6,11,0,2,0,2.142857142857143,4,3.675675675675676,2,7.0299488677867075,0.18666666666666668,0,0,79.0,79.0,79.0,0.0,0.22857142857142856,2.75,1.962962962962963,Easy,2,charts/01 Pop\Akaneiro no Yakusoku\Akaneiro no Yakusoku.tja
390,229,136,17,8,8,0,6.964285714285714,5,6.084832904884319,3,34.16503988210493,0.5384615384615384,0,0,130.0,130.0,130.0,0.0,0.2857142857142857,8.3125,6.425,Oni,7,charts/01 Pop\Ambivalent\Ambivalent.tja
165,104,35,17,9,3,2,2.7966101694915255,6,14.158536585365853,1,382.4870612730518,0.4727272727272727,0,0,130.0,130.0,130.0,0.0,0.2711864406779661,3.4375,2.558139534883721,Hard,4,charts/01 Pop\Ambivalent\Ambivalent.tja
90,55,17,17,1,3,2,1.5254237288135593,6,27.0561797752809,1,719.3339224845348,0.4,0,0,130.0,130.0,130.0,0.0,0.2711864406779661,1.8125,1.4186046511627908,Normal,2,charts/01 Pop\Ambivalent\Ambivalent.tja
63,38,7,17,1,3,2,1.0677966101694916,6,38.83870967741935,1,1045.6514047866806,0.2857142857142857,0,0,130.0,130.0,130.0,0.0,0.2711864406779661,1.3125,0.9767441860465116,Easy,2,charts/01 Pop\Ambivalent\Ambivalent.tja
275,162,100,8,5,0,2,5.978260869565218,5,7.930656934306569,2,108.61927913048112,0.5272727272727272,0,0,125.0,125.0,125.0,0.0,0.43478260869565216,5.6,6.269230769230769,Oni,6,charts/01 Pop\AMPTAKxCOLORS\AMPTAKxCOLORS.tja
152,99,42,8,3,0,2,3.3043478260869565,5,14.450331125827814,3,383.38660585062064,0.2894736842105263,0,0,125.0,125.0,125.0,0.0,0.43478260869565216,3.2,3.3846153846153846,Hard,4,charts/01 Pop\AMPTAKxCOLORS\AMPTAKxCOLORS.tja
100,54,35,9,2,0,2,2.1739130434782608,5,22.04040404040404,3,617.9579634731151,0.33,0,0,125.0,125.0,125.0,0.0,0.43478260869565216,1.95,2.3461538461538463,Normal,3,charts/01 Pop\AMPTAKxCOLORS\AMPTAKxCOLORS.tja
71,48,13,8,2,0,2,1.5434782608695652,5,31.257142857142856,5,895.1338775510203,0.30985915492957744,0,0,125.0,125.0,125.0,0.0,0.43478260869565216,1.35,1.6923076923076923,Easy,2,charts/01 Pop\AMPTAKxCOLORS\AMPTAKxCOLORS.tja
349,190,128,9,22,2,3,5.721311475409836,6,7.732758620689655,2,75.76478894173603,0.6131805157593123,0,0,137.0,137.0,137.0,0.0,0.16393442622950818,5.7,5.7254901960784315,Oni,6,charts/01 Pop\Anata ni Koi wo Shite Mimashita\Anata ni Koi wo Shite Mimashita.tja
279,143,105,9,22,2,3,4.573770491803279,6,9.647482014388489,3,88.30019150147508,0.5913978494623656,0,0,137.0,137.0,137.0,0.0,0.16393442622950818,4.9,4.509803921568627,Hard,5,charts/01 Pop\Anata ni Koi wo Shite Mimashita\Anata ni Koi wo Shite Mimashita.tja
